NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES
Banarsiwala,200,"Beverages,Street Food",Chennai,St. Thomas Mount,https://www.zomato.com/chennai/banarsiwala-st-thomas-mount/info,225,none,11am to 11pm(Mon-Sun),Not rated,-,-
Fruit Bowl,200,"Healthy Food,Juices",Chennai,Anna Nagar West,https://www.zomato.com/chennai/fruit-bowl-anna-nagar-west/info,225,none,"11am to 7pm(Mon-Sat),Closed(Sun)",None,NEW,NEW
Thriveni Cafe,300,"North Indian,South Indian",Chennai,Aminijikarai,https://www.zomato.com/chennai/thriveni-cafe-aminijikarai/info,225,Quick Bites,7am to 11pm(Mon-Sun),Not rated,-,-
Ambi's Cafe,200,South Indian,Chennai,Kottivakkam,https://www.zomato.com/chennai/ambis-cafe-kottivakkam/info,225,none,7am to 11pm(Mon-Sun),Not rated,-,-
Tasty Treatz,250,"Fast Food,Street Food,Beverages",Chennai,Velachery,https://www.zomato.com/chennai/tasty-treatz-1-velachery/info,225,Quick Bites,1030am to 11pm(Mon-Sun),Not rated,-,-
New Hyderabad Thallapakattu,300,Biryani,Chennai,Ashok Nagar,https://www.zomato.com/chennai/new-hyderabad-thallapakattu-ashok-nagar/info,225,Quick Bites,12noon to 11pm(Mon-Sun),Not rated,-,-
Chennai Diet,200,"Street Food,Juices",Chennai,Pallikaranai,https://www.zomato.com/chennai/chennai-diet-pallikaranai/info,225,Quick Bites,9am to 10pm(Mon-Sun),Not rated,-,-
The Food Factory,350,"Fast Food,Beverages",Chennai,T. Nagar,https://www.zomato.com/chennai/the-food-factory-t-nagar/info,225,none,11am to 10pm(Mon-Sun),None,NEW,NEW
Crispy Crush,300,"North Indian,Chinese",Chennai,Adyar,https://www.zomato.com/chennai/crispy-crush-adyar/info,225,none,11am to 10pm(Mon-Sun),Not rated,-,-
Entree,400,"Chinese,South Indian",Chennai,Pallavaram,https://www.zomato.com/chennai/entree-pallavaram/info,111,Casual Dining,12noon to 11pm(Mon-Sun),Average,3.0,38
Grand Star,350,North Indian,Chennai,GST Road,https://www.zomato.com/chennai/grand-star-gst-road/info,111,Quick Bites,1130am to 1030pm(Mon-Sun),Average,3.4,38
Arabi Sutta Kozhi,350,"Arabian,BBQ",Chennai,Adambakkam,https://www.zomato.com/chennai/arabi-sutta-kozhi-adambakkam/info,111,Quick Bites,5pm to 11pm(Mon-Sun),Average,3.4,44
Thameem Bro's,400,"North Indian,Chinese",Chennai,Avadi,https://www.zomato.com/chennai/thameem-bros-avadi/info,111,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,41
Rohini Restaurant,100,North Indian,Chennai,Porur,https://www.zomato.com/chennai/rohini-restaurant-porur/info,111,Quick Bites,"1030am to 330pm,7pm to 1030pm(Mon-Sun)",Good,3.7,44
Jammy Tommy,300,"Ice Cream,Fast Food",Chennai,Maduravoyal,https://www.zomato.com/chennai/jammy-tommy-maduravoyal/info,111,Dessert Parlor,11am to 11pm(Mon-Sun),Good,3.5,27
Hotel Vishal Bhavan,300,South Indian,Chennai,Porur,https://www.zomato.com/chennai/hotel-vishal-bhavan-porur/info,111,Quick Bites,6am to 11pm(Mon-Sun),Average,2.8,44
Thalappakattu Biryani,150,"Biryani,South Indian",Chennai,Anna Nagar East,https://www.zomato.com/chennai/thalappakattu-biryani-anna-nagar-east/info,111,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,48
Bhavras Burger Hub,200,"Burger,Fast Food",Chennai,Anna Nagar West,https://www.zomato.com/chennai/bhavras-burger-hub-anna-nagar-west/info,111,Quick Bites,1230pm to 11pm(Mon-Sun),Good,3.6,42
Usthad Hotel,150,South Indian,Chennai,Karapakkam,https://www.zomato.com/chennai/usthad-hotel-karapakkam/info,111,Quick Bites,11am to 10pm(Mon-Sun),Good,3.5,35
Rusy Foods,300,Fast Food,Chennai,Sholinganallur,https://www.zomato.com/chennai/rusy-foods-sholinganallur/info,111,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,35
Delight Cake Shop,100,Bakery,Chennai,Perambur,https://www.zomato.com/chennai/delight-cake-shop-perambur/info,111,Bakery,930am to 930pm(Mon-Sun),Average,3.1,8
Grandpa's Kitchen,200,Fast Food,Chennai,T. Nagar,https://www.zomato.com/chennai/grandpas-kitchen-t-nagar/info,111,Quick Bites,9am to 730pm(Mon-Sun),Good,3.5,28
Chook Fork,600,"Chinese,Chettinad,South Indian,Momos",Chennai,Ascendas IT Park-- Taramani,https://www.zomato.com/chennai/chook-fork-taramani/info,111,Food Court,11am to 10pm(Mon-Sun),Good,3.5,30
Loiee Sweets & Snacks,600,"Mithai,South Indian,North Indian,Chinese",Chennai,Chromepet,https://www.zomato.com/chennai/loiee-sweets-snacks-chromepet/info,111,Quick Bites,1130am to 1030pm(Mon-Sun),Average,3.0,31
Bake O'Clock,500,"Bakery,Desserts",Chennai,Kilpauk,https://www.zomato.com/chennai/bake-oclock-kilpauk/info,130,none,10am to 8pm(Mon-Sun),Average,3.4,13
Sri Annapoorna,250,"South Indian,North Indian",Chennai,Pallavaram,https://www.zomato.com/chennai/sri-annapoorna-pallavaram/info,130,Quick Bites,730am to 10pm(Mon-Sun),Good,3.7,22
Mubarak's Chick O Chick,300,"Biryani,Chinese",Chennai,Medavakkam,https://www.zomato.com/chennai/mubaraks-chick-o-chick-medavakkam/info,130,Quick Bites,12noon to 10pm(Mon-Sun),Good,3.6,32
Pattukottai Mess - Shri Kamatchi Thunai,600,"South Indian,Chettinad,Biryani",Chennai,Ashok Nagar,https://www.zomato.com/chennai/pattukottai-mess-shri-kamatchi-thunai-ashok-nagar/info,130,Casual Dining,1230pm to 430pm(Mon-Sun),Good,3.8,31
Frost - The Pastry Studio,400,Bakery,Chennai,Anna Nagar East,https://www.zomato.com/chennai/frost-the-pastry-studio-anna-nagar-east/info,130,Bakery,10am to 10pm(Mon-Sun),Average,3.3,10
Taj Thalapakattu Biriyani,600,"South Indian,Chinese,North Indian,Mughlai",Chennai,Poonamalle,https://www.zomato.com/chennai/taj-thalapakattu-biriyani-poonamalle/info,130,Quick Bites,11am to 1030pm(Mon-Sun),Good,3.5,30
Jai Sri Kannappas Thattu Idli Kadai,200,South Indian,Chennai,Mogappair,https://www.zomato.com/chennai/jai-sri-kannappas-thattu-idli-kadai-mogappair/info,130,Quick Bites,3pm to 11pm(Mon-Sun),Average,3.2,22
Cremurah Cafe,300,"Fast Food,Finger Food,Juices,Cafe,Desserts,Pizza,Sandwich,Ice Cream",Chennai,Purasavakkam,https://www.zomato.com/chennai/cremurah-cafe-purasavakkam/info,130,Quick Bites,11am to 10pm(Mon-Sun),Good,3.6,19
Lovely Multi Cuisine Restaurant,450,"South Indian,Chinese,Fast Food",Chennai,Chengalpattu,https://www.zomato.com/chennai/lovely-multi-cuisine-restaurant-chengalpattu/info,130,Casual Dining,11am to 11pm(Mon-Sun),Average,3.4,23
Star Burma Hotel,200,"Burmese,Chinese,Fast Food",Chennai,OMR Food Street-- Guduvancheri,https://www.zomato.com/chennai/star-burma-hotel-gst-road/info,130,Quick Bites,12noon to 1030pm(Mon-Sun),Good,3.5,20
Destiny's Kitchen,400,"Chinese,North Indian,South Indian",Chennai,Perambur,https://www.zomato.com/chennai/destinys-kitchen-perambur/info,130,none,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Good,3.7,25
Darvesh Jigarthanda,200,Beverages,Chennai,Perambur,https://www.zomato.com/chennai/darvesh-jigarthanda-perambur/info,130,Beverage Shop,1030am to 1030pm(Mon-Sun),Average,3.2,26
Frybox,250,Fast Food,Chennai,Padur,https://www.zomato.com/chennai/frybox-padur/info,130,none,"12noon to 11pm(Mon-Fri),11am to 11pm(Sat-Sun)",Average,3.2,24
Rajasthani Roti Ghar,200,North Indian,Chennai,Triplicane,https://www.zomato.com/chennai/rajasthani-roti-ghar-triplicane/info,130,Casual Dining,"Closed(Mon),11am to 3pm,7pm to 10pm(Tue-Sun)",Good,3.6,31
Friends Cake Castle,500,"Bakery,Fast Food",Chennai,Kilpauk,https://www.zomato.com/chennai/friends-cake-castle-kilpauk/info,130,Quick Bites,10am to 10pm(Mon-Sun),Average,3.4,28
77 Dosa,300,South Indian,Chennai,Nungambakkam,https://www.zomato.com/chennai/77-dosa-nungambakkam/info,281,Quick Bites,1pm to 1am(Mon-Sun),Average,2.7,47
Celeste,150,"Desserts,Bakery",Chennai,Thuraipakkam,https://www.zomato.com/chennai/celeste-thuraipakkam/info,281,Bakery,24,Average,3.3,39
Sea Shore,500,"North Indian,Chettinad,Chinese,Seafood",Chennai,George Town,https://www.zomato.com/chennai/sea-shore-george-town/info,281,Quick Bites,9am to 12midnight(Mon-Sun),Good,3.5,51
Saro Griillz,500,"Biryani,Chinese,North Indian",Chennai,Velachery,https://www.zomato.com/chennai/saro-griillz-velachery/info,281,Casual Dining,1130am to 1130pm(Mon-Sun),Average,3.4,11
Smokee Grills and BBQ,500,"North Indian,Chinese,BBQ",Chennai,Porur,https://www.zomato.com/chennai/smokee-grills-and-bbq-porur/info,281,Quick Bites,2pm to 1130pm(Mon-Sun),Average,3.3,44
